VFClass,Virulence Factors,Related Genes,B13 (Prediction),Position
Iron acquisition,Bacillibactin,dhbA,OGCDPPDJ_01534,gnl|Prokka|OGCDPPDJ_2: 113043-113828,None
Iron acquisition,Bacillibactin,dhbB,OGCDPPDJ_01531,gnl|Prokka|OGCDPPDJ_2: 109207-110145,None
Iron acquisition,Bacillibactin,dhbC,OGCDPPDJ_01533,gnl|Prokka|OGCDPPDJ_2: 111821-113017,None
Iron acquisition,Bacillibactin,dhbE,OGCDPPDJ_01532,gnl|Prokka|OGCDPPDJ_2: 110173-111792,None
Iron acquisition,Bacillibactin,dhbF,OGCDPPDJ_01530,gnl|Prokka|OGCDPPDJ_2: 102051-109187,None
Iron acquisition,Hal,hal,-,-
Iron acquisition,IlsA,ilsA,-,-
Iron acquisition,Petrobactin,asbA,-,-
Iron acquisition,Petrobactin,asbB,-,-
Iron acquisition,Petrobactin,asbC,-,-
Iron acquisition,Petrobactin,asbD,-,-
Iron acquisition,Petrobactin,asbE,-,-
Iron acquisition,Petrobactin,asbF,-,-
Regulation,AcpAB,acpA,-,-
Regulation,AcpAB,acpB,-,-
Regulation,AtxA,atxA,-,-
Regulation,PagR-XO1,pagR-XO1,-,-
Regulation,PagR-XO2,pagR-XO2,-,-
Regulation,PlcR-PapR quorum sensing,papR,-,-
Regulation,PlcR-PapR quorum sensing,plcR,-,-
Regulation,Carbon storage regulator A (Legionella),csrA,OGCDPPDJ_01927,gnl|Prokka|OGCDPPDJ_2: 491750-491974,None
Regulation,CheA/CheY (Listeria),cheY,OGCDPPDJ_01377,gnl|Prokka|OGCDPPDJ_1: 1256905-1257267,None
,,,OGCDPPDJ_02705,gnl|Prokka|OGCDPPDJ_3: 184599-184961,None
Secretion system,Type VII secretion system,-,-,-
Secretion system,Type VII secretion system,-,-,-
Secretion system,Type VII secretion system,essC,-,-
Secretion system,Type VII secretion system,esxB,-,-
Secretion system,Type VII secretion system,esxL,-,-
Secretion system,Type III secretion system ((Chlamydia),cdsN,OGCDPPDJ_02714,gnl|Prokka|OGCDPPDJ_3: 191596-192912,None
Toxin,Anthrax toxin,cya,-,-
Toxin,Anthrax toxin,lef,-,-
Toxin,Anthrax toxin,pagA,-,-
Toxin,Anthrolysin O/Cereolysin O/Hemolysin I,alo,-,-
Toxin,Cereulide,cesA,-,-
Toxin,Cereulide,cesB,-,-
Toxin,Cereulide,cesC,-,-
Toxin,Cereulide,cesD,-,-
Toxin,Cereulide,cesH,-,-
Toxin,Cereulide,cesP,-,-
Toxin,Cereulide,cesT,-,-
Toxin,Certhrax,cer,-,-
Toxin,Cytotoxin K (Hemolysin IV),cytK,-,-
Toxin,Hemolysin II,hlyII,-,-
Toxin,Hemolysin III homolog,--,-,-
Toxin,Hemolysin III,hlyIII,OGCDPPDJ_00958,gnl|Prokka|OGCDPPDJ_1: 883435-884076,None
Toxin,Hemolytic enterotoxin HBL,hblA,-,-
Toxin,Hemolytic enterotoxin HBL,hblC,-,-
Toxin,Hemolytic enterotoxin HBL,hblD,-,-
Toxin,Insecticidal crystalline toxins,cry,-,-
Toxin,Insecticidal crystalline toxins,cyt,-,-
Toxin,Insecticidal crystalline toxins,vip,-,-
Toxin,Non-hemolytic enterotoxin (Nhe),nheA,-,-
Toxin,Non-hemolytic enterotoxin (Nhe),nheB,-,-
Toxin,Non-hemolytic enterotoxin (Nhe),nheC,-,-
Acid resistance,Urease ((Helicobacter),ureB,OGCDPPDJ_02070,gnl|Prokka|OGCDPPDJ_2: 627589-629298,None
Antiphagocytosis,Capsular polysaccharide (Vibrio),wcaJ,OGCDPPDJ_01815,gnl|Prokka|OGCDPPDJ_2: 372947-373555,None
Antiphagocytosis,Capsule (Enterococcus),--,OGCDPPDJ_02685,gnl|Prokka|OGCDPPDJ_3: 166799-167581,None
Antiphagocytosis,Capsule (Klebsiella),gnd,OGCDPPDJ_02428,gnl|Prokka|OGCDPPDJ_2: 989535-990941,None
Copper uptake,Copper exporter (Mycobacterium),ctpV,OGCDPPDJ_01689,gnl|Prokka|OGCDPPDJ_2: 262705-265116,None
Iron uptake,Achromobactin biosynthesis and transport (Pseudomonas),cbrD,OGCDPPDJ_04198,gnl|Prokka|OGCDPPDJ_5: 175050-175850,None
Iron uptake,Mycobactin (Mycobacterium),mbtH,OGCDPPDJ_01529,gnl|Prokka|OGCDPPDJ_2: 101826-102035,None
Iron uptake,Periplasmic binding protein-dependent ABC transport systems (Vibrio),vctC,OGCDPPDJ_03800,gnl|Prokka|OGCDPPDJ_4: 185882-186640,None
Peptidoglycan modification,OatA (Listeria),oatA,OGCDPPDJ_00399,gnl|Prokka|OGCDPPDJ_1: 399418-401322,None
Stress adaptation,Catalase (Neisseria),katA,OGCDPPDJ_03582,gnl|Prokka|OGCDPPDJ_3: 996866-998317,Yes
Surface protein anchoring,Lipoprotein diacylglyceryl transferase (Listeria),lgt,OGCDPPDJ_01893,gnl|Prokka|OGCDPPDJ_2: 453157-453966,None
Surface protein anchoring,Lipoprotein-specific signal peptidase II (Listeria),lspA,OGCDPPDJ_02792,gnl|Prokka|OGCDPPDJ_3: 271580-272044,None
