contig	type	start	stop	strand	ID	name	product
Contig_1	CDS	504474	505292	+	OGCDPPDJ_00522	cwlA_1	N-acetylmuramoyl-L-alanine amidase CwlA
Contig_1	CDS	505457	505936	+	OGCDPPDJ_00523		hypothetical protein
Contig_1	CDS	505952	506314	+	OGCDPPDJ_00524		hypothetical protein
Contig_1	CDS	506311	506457	-	OGCDPPDJ_00525		hypothetical protein
Contig_1	CDS	506575	507153	-	OGCDPPDJ_00526	yqcF	Antitoxin YqcF
Contig_1	CDS	507168	508763	-	OGCDPPDJ_00527	yqcG_1	Ribonuclease YqcG
Contig_1	CDS	508879	509292	-	OGCDPPDJ_00528		hypothetical protein
Contig_1	CDS	509402	509536	-	OGCDPPDJ_00529		hypothetical protein
Contig_1	CDS	509526	510662	-	OGCDPPDJ_00530	rapA_1	Response regulator aspartate phosphatase A
Contig_1	CDS	510961	511626	+	OGCDPPDJ_00531		hypothetical protein
Contig_1	CDS	511703	512050	+	OGCDPPDJ_00532		hypothetical protein
Contig_1	CDS	512101	512976	+	OGCDPPDJ_00533		hypothetical protein
Contig_1	CDS	513507	514502	-	OGCDPPDJ_00534	yhfP_1	Putative quinone oxidoreductase YhfP
Contig_1	CDS	514660	515253	+	OGCDPPDJ_00535	ttgR	HTH-type transcriptional regulator TtgR
Contig_1	CDS	515795	516661	+	OGCDPPDJ_00536		hypothetical protein
Contig_1	CDS	516736	517158	+	OGCDPPDJ_00537		hypothetical protein
Contig_1	CDS	517187	517657	+	OGCDPPDJ_00538		hypothetical protein
Contig_1	CDS	517971	518735	+	OGCDPPDJ_00539		hypothetical protein
Contig_1	CDS	519106	519423	+	OGCDPPDJ_00540	arsR	Arsenical resistance operon repressor
Contig_1	CDS	519484	519924	+	OGCDPPDJ_00541	cadI	Cadmium-induced protein CadI
Contig_1	CDS	519947	520987	+	OGCDPPDJ_00542	acr3	Arsenical-resistance protein Acr3
