"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","B13_genomic","GCA_000409585.1_Hal1_genomic.NN","GCA_000735115.1_ASM73511v1_genomic.NM","GCA_000982455.1_ASM98245v1_genomic.NM","GCA_003336815.1_ASM333681v1_genomic.NM","GCA_004328925.1_ASM432892v1_genomic.NM","GCA_008831405.1_ASM883140v1_genomic.NM","GCA_011456075.1_ASM1145607v1_genomic.NM","GCA_013186645.1_ASM1318664v1_genomic.NM","GCA_013393725.1_ASM1339372v1_genomic.NM","GCA_018122435.1_ASM1812243v1_genomic.NN","GCA_018122445.1_ASM1812244v1_genomic.NN","GCA_018122455.1_ASM1812245v1_genomic.NN","GCA_018122465.1_ASM1812246v1_genomic.NN","GCA_018122475.1_ASM1812247v1_genomic.NN","GCA_018122535.1_ASM1812253v1_genomic.NN","GCA_019583555.1_ASM1958355v1_genomic.NN","GCA_022700895.1_ASM2270089v1_genomic.NN","GCA_023518255.2_ASM2351825v2_genomic.NM","GCA_024262185.1_ASM2426218v1_genomic.NM","GCA_030519455.1_ASM3051945v1_genomic.NM","GCA_030643765.1_ASM3064376v1_genomic.NM","GCA_032598945.1_ASM3259894v1_genomic.NN","GCA_036218465.1_ASM3621846v1_genomic.NM","GCA_036231745.1_ASM3623174v1_genomic.NM","GCA_038762065.1_ASM3876206v1_genomic.NM","GCA_038898345.1_ASM3889834v1_genomic.NM","GCA_040278585.1_ASM4027858v1_genomic.NM","GCA_050908195.1_ASM5090819v1_genomic.NN","GCA_051851495.1_ASM5185149v1_genomic.NM","GCA_052976505.1_ASM5297650v1_genomic.NN","GCA_053570475.1_ASM5357047v1_genomic.NM"
"ssbA","","Single-stranded DNA-binding protein A","32","32","1","114","4774","","","","518","518","518","CBPJGFDI_02567","JOALHOIP_00832","PLLECCHL_03440","CKPFFKFG_02311","EJLPBIDD_02741","KBFHEIFM_04307","LHNFOEJC_04192","OPAAANOD_02689","CBBMCBHD_00923","DDCFCBDF_03731","DFPKOMDA_04167","KAALHNMO_03557","MMHBEFPG_03224","ALMECFFD_02445","MLEOMEED_01495","AGNKOGBN_00710","NADAGIKK_04104","ADNDDJPL_03767","KKOACABF_03417","OCCFHEHO_03331","MDCBHCFC_03342","ELIPLHKN_00679","GIOCAJEK_04115","KINKNFBI_03095","PLHLKKDO_03329","FNPFPPAG_04134","MPDACFMJ_00024","DNCMPOJM_01018","LCJDOLDM_01057","AKHABIKF_01640","DHKOHJCB_01027","FAMPPICK_04315"
"perR","","Peroxide operon regulator","32","32","1","114","726","","","","437","437","437","CBPJGFDI_04342","JOALHOIP_02718","PLLECCHL_04171","CKPFFKFG_03705","EJLPBIDD_03521","KBFHEIFM_00998","LHNFOEJC_00896","OPAAANOD_03770","CBBMCBHD_00592","DDCFCBDF_02768","DFPKOMDA_03768","KAALHNMO_02909","MMHBEFPG_00267","ALMECFFD_02173","MLEOMEED_03526","AGNKOGBN_01303","NADAGIKK_02563","ADNDDJPL_02800","KKOACABF_02641","OCCFHEHO_03775","MDCBHCFC_03961","ELIPLHKN_04040","GIOCAJEK_00913","KINKNFBI_04128","PLHLKKDO_03818","FNPFPPAG_00929","MPDACFMJ_03204","DNCMPOJM_03878","LCJDOLDM_01973","AKHABIKF_04096","DHKOHJCB_03507","FAMPPICK_00952"
"group_10203","","hypothetical protein","32","32","1","114","9472","","","","344","344","344","CBPJGFDI_01216","JOALHOIP_03742","PLLECCHL_01311","CKPFFKFG_00199","EJLPBIDD_03468","KBFHEIFM_02141","LHNFOEJC_02116","OPAAANOD_00428","CBBMCBHD_00548","DDCFCBDF_01603","DFPKOMDA_03166","KAALHNMO_02146","MMHBEFPG_02046","ALMECFFD_01970","MLEOMEED_01801","AGNKOGBN_00006","NADAGIKK_01360","ADNDDJPL_01681","KKOACABF_03910","OCCFHEHO_01286","MDCBHCFC_01034","ELIPLHKN_02921","GIOCAJEK_02033","KINKNFBI_00674","PLHLKKDO_01056","FNPFPPAG_02121","MPDACFMJ_01151","DNCMPOJM_02170","LCJDOLDM_03155","AKHABIKF_03732","DHKOHJCB_02221","FAMPPICK_02072"
"rpmF","","50S ribosomal protein L32","32","32","1","114","2044","","","","179","179","179","CBPJGFDI_02846","JOALHOIP_01301","PLLECCHL_00677","CKPFFKFG_03004","EJLPBIDD_02812","KBFHEIFM_01673","LHNFOEJC_01574","OPAAANOD_04467","CBBMCBHD_03285","DDCFCBDF_02069","DFPKOMDA_01438","KAALHNMO_00640","MMHBEFPG_01352","ALMECFFD_01896","MLEOMEED_01881","AGNKOGBN_01129","NADAGIKK_00114","ADNDDJPL_02121","KKOACABF_01410","OCCFHEHO_00666","MDCBHCFC_01469","ELIPLHKN_03361","GIOCAJEK_01593","KINKNFBI_03705","PLHLKKDO_01677","FNPFPPAG_01602","MPDACFMJ_02854","DNCMPOJM_01732","LCJDOLDM_02654","AKHABIKF_00897","DHKOHJCB_01780","FAMPPICK_01631"
"rpsL","","30S ribosomal protein S12","32","32","1","114","4620","","","","416","416","416","CBPJGFDI_04394","JOALHOIP_00396","PLLECCHL_04201","CKPFFKFG_04031","EJLPBIDD_00758","KBFHEIFM_00136","LHNFOEJC_00137","OPAAANOD_02844","CBBMCBHD_01684","DDCFCBDF_03576","DFPKOMDA_03798","KAALHNMO_00817","MMHBEFPG_01447","ALMECFFD_01305","MLEOMEED_00184","AGNKOGBN_03482","NADAGIKK_02146","ADNDDJPL_03614","KKOACABF_03750","OCCFHEHO_04270","MDCBHCFC_04089","ELIPLHKN_00526","GIOCAJEK_00136","KINKNFBI_03356","PLHLKKDO_04092","FNPFPPAG_00124","MPDACFMJ_03949","DNCMPOJM_03908","LCJDOLDM_01209","AKHABIKF_03485","DHKOHJCB_03994","FAMPPICK_00137"
"pdhA","","Pyruvate dehydrogenase E1 component subunit alpha","32","32","1","114","1980","","","","1115","1115","1115","CBPJGFDI_02899","JOALHOIP_02890","PLLECCHL_00626","CKPFFKFG_02953","EJLPBIDD_03941","KBFHEIFM_01621","LHNFOEJC_01523","OPAAANOD_04414","CBBMCBHD_03234","DDCFCBDF_02124","DFPKOMDA_01489","KAALHNMO_01182","MMHBEFPG_00937","ALMECFFD_00637","MLEOMEED_01830","AGNKOGBN_01078","NADAGIKK_03097","ADNDDJPL_02172","KKOACABF_01359","OCCFHEHO_00615","MDCBHCFC_01520","ELIPLHKN_03412","GIOCAJEK_01542","KINKNFBI_03124","PLHLKKDO_01728","FNPFPPAG_01551","MPDACFMJ_02803","DNCMPOJM_01681","LCJDOLDM_02603","AKHABIKF_00846","DHKOHJCB_01729","FAMPPICK_01580"
"ykzF","","putative protein YkzF","32","32","1","114","1920","","","","191","191","191","CBPJGFDI_02946","JOALHOIP_00006","PLLECCHL_00579","CKPFFKFG_02906","EJLPBIDD_04796","KBFHEIFM_01574","LHNFOEJC_01476","OPAAANOD_04364","CBBMCBHD_03642","DDCFCBDF_02172","DFPKOMDA_03937","KAALHNMO_00998","MMHBEFPG_02451","ALMECFFD_04102","MLEOMEED_02888","AGNKOGBN_01031","NADAGIKK_00776","ADNDDJPL_02219","KKOACABF_01312","OCCFHEHO_00568","MDCBHCFC_01567","ELIPLHKN_03459","GIOCAJEK_01495","KINKNFBI_03171","PLHLKKDO_01776","FNPFPPAG_01504","MPDACFMJ_02756","DNCMPOJM_01634","LCJDOLDM_02556","AKHABIKF_00799","DHKOHJCB_01682","FAMPPICK_01533"
"yqeY","","putative protein YqeY","32","32","1","114","8899","","","","446","446","446","CBPJGFDI_00583","JOALHOIP_03116","PLLECCHL_01751","CKPFFKFG_00639","EJLPBIDD_04143","KBFHEIFM_02589","LHNFOEJC_02554","OPAAANOD_00890","CBBMCBHD_01121","DDCFCBDF_01161","DFPKOMDA_02726","KAALHNMO_01051","MMHBEFPG_02999","ALMECFFD_02990","MLEOMEED_01238","AGNKOGBN_01922","NADAGIKK_03263","ADNDDJPL_01051","KKOACABF_01906","OCCFHEHO_01730","MDCBHCFC_00597","ELIPLHKN_02291","GIOCAJEK_02474","KINKNFBI_00213","PLHLKKDO_00612","FNPFPPAG_02573","MPDACFMJ_01591","DNCMPOJM_02610","LCJDOLDM_03602","AKHABIKF_03390","DHKOHJCB_02661","FAMPPICK_02704"
"aroA","","Protein AroA(G)","32","32","1","114","8005","","","","1076","1076","1076","CBPJGFDI_00128","JOALHOIP_01946","PLLECCHL_02281","CKPFFKFG_01101","EJLPBIDD_05034","KBFHEIFM_03054","LHNFOEJC_03019","OPAAANOD_01443","CBBMCBHD_03002","DDCFCBDF_00689","DFPKOMDA_01996","KAALHNMO_03737","MMHBEFPG_02302","ALMECFFD_01137","MLEOMEED_01984","AGNKOGBN_00929","NADAGIKK_03453","ADNDDJPL_00602","KKOACABF_00305","OCCFHEHO_02189","MDCBHCFC_00161","ELIPLHKN_01844","GIOCAJEK_02945","KINKNFBI_02587","PLHLKKDO_00127","FNPFPPAG_02977","MPDACFMJ_02059","DNCMPOJM_03027","LCJDOLDM_04114","AKHABIKF_01884","DHKOHJCB_03110","FAMPPICK_03153"
"hfq","","RNA-binding protein Hfq","32","32","1","114","2384","","","","221","221","221","CBPJGFDI_02619","JOALHOIP_01183","PLLECCHL_00903","CKPFFKFG_03232","EJLPBIDD_00014","KBFHEIFM_01906","LHNFOEJC_01802","OPAAANOD_00017","CBBMCBHD_00232","DDCFCBDF_01855","DFPKOMDA_01213","KAALHNMO_01905","MMHBEFPG_00792","ALMECFFD_03158","MLEOMEED_02064","AGNKOGBN_01407","NADAGIKK_03140","ADNDDJPL_01894","KKOACABF_02479","OCCFHEHO_00892","MDCBHCFC_01241","ELIPLHKN_03135","GIOCAJEK_01819","KINKNFBI_03477","PLHLKKDO_01451","FNPFPPAG_01828","MPDACFMJ_03081","DNCMPOJM_01959","LCJDOLDM_02899","AKHABIKF_02738","DHKOHJCB_02006","FAMPPICK_01858"
"rplP","","50S ribosomal protein L16","32","32","1","114","4607","","","","434","434","434","CBPJGFDI_04381","JOALHOIP_00384","PLLECCHL_04214","CKPFFKFG_04018","EJLPBIDD_00771","KBFHEIFM_00149","LHNFOEJC_00150","OPAAANOD_02857","CBBMCBHD_01671","DDCFCBDF_03563","DFPKOMDA_03811","KAALHNMO_00830","MMHBEFPG_01460","ALMECFFD_01318","MLEOMEED_00197","AGNKOGBN_03495","NADAGIKK_02159","ADNDDJPL_03601","KKOACABF_03737","OCCFHEHO_04257","MDCBHCFC_04102","ELIPLHKN_00513","GIOCAJEK_00149","KINKNFBI_03369","PLHLKKDO_04079","FNPFPPAG_00137","MPDACFMJ_03962","DNCMPOJM_03921","LCJDOLDM_01222","AKHABIKF_03472","DHKOHJCB_03981","FAMPPICK_00150"
"fer","","Ferredoxin","32","32","1","114","9203","","","","248","248","248","CBPJGFDI_00831","JOALHOIP_01533","PLLECCHL_01508","CKPFFKFG_00397","EJLPBIDD_03692","KBFHEIFM_02339","LHNFOEJC_02312","OPAAANOD_00636","CBBMCBHD_02615","DDCFCBDF_01406","DFPKOMDA_02968","KAALHNMO_03977","MMHBEFPG_01064","ALMECFFD_03772","MLEOMEED_01603","AGNKOGBN_03859","NADAGIKK_02850","ADNDDJPL_01293","KKOACABF_02939","OCCFHEHO_01484","MDCBHCFC_00837","ELIPLHKN_02533","GIOCAJEK_02231","KINKNFBI_00454","PLHLKKDO_00858","FNPFPPAG_02319","MPDACFMJ_01350","DNCMPOJM_02369","LCJDOLDM_03352","AKHABIKF_03533","DHKOHJCB_02419","FAMPPICK_02462"
"rpoA","","DNA-directed RNA polymerase subunit alpha","32","32","1","114","4587","","","","944","944","944","CBPJGFDI_04361","JOALHOIP_00364","PLLECCHL_04234","CKPFFKFG_03998","EJLPBIDD_00791","KBFHEIFM_00169","LHNFOEJC_00170","OPAAANOD_02877","CBBMCBHD_01651","DDCFCBDF_03543","DFPKOMDA_03831","KAALHNMO_00850","MMHBEFPG_01480","ALMECFFD_01338","MLEOMEED_00217","AGNKOGBN_03515","NADAGIKK_02179","ADNDDJPL_03581","KKOACABF_03717","OCCFHEHO_04237","MDCBHCFC_04122","ELIPLHKN_00493","GIOCAJEK_00169","KINKNFBI_03389","PLHLKKDO_04059","FNPFPPAG_00157","MPDACFMJ_03982","DNCMPOJM_03941","LCJDOLDM_01242","AKHABIKF_03452","DHKOHJCB_03961","FAMPPICK_00170"
"nrgB","","Nitrogen regulatory PII-like protein","32","32","1","114","5636","","","","350","350","350","CBPJGFDI_02070","JOALHOIP_03476","PLLECCHL_02997","CKPFFKFG_01873","EJLPBIDD_00854","KBFHEIFM_03846","LHNFOEJC_03738","OPAAANOD_02226","CBBMCBHD_02091","DDCFCBDF_04214","DFPKOMDA_00712","KAALHNMO_01727","MMHBEFPG_01735","ALMECFFD_02909","MLEOMEED_00319","AGNKOGBN_02662","NADAGIKK_00444","ADNDDJPL_04218","KKOACABF_02008","OCCFHEHO_02895","MDCBHCFC_02275","ELIPLHKN_01130","GIOCAJEK_03668","KINKNFBI_01246","PLHLKKDO_02885","FNPFPPAG_03684","MPDACFMJ_00470","DNCMPOJM_00571","LCJDOLDM_00600","AKHABIKF_03079","DHKOHJCB_00574","FAMPPICK_03863"
"rpmC","","50S ribosomal protein L29","32","32","1","114","4606","","","","200","200","200","CBPJGFDI_04380","JOALHOIP_00383","PLLECCHL_04215","CKPFFKFG_04017","EJLPBIDD_00772","KBFHEIFM_00150","LHNFOEJC_00151","OPAAANOD_02858","CBBMCBHD_01670","DDCFCBDF_03562","DFPKOMDA_03812","KAALHNMO_00831","MMHBEFPG_01461","ALMECFFD_01319","MLEOMEED_00198","AGNKOGBN_03496","NADAGIKK_02160","ADNDDJPL_03600","KKOACABF_03736","OCCFHEHO_04256","MDCBHCFC_04103","ELIPLHKN_00512","GIOCAJEK_00150","KINKNFBI_03370","PLHLKKDO_04078","FNPFPPAG_00138","MPDACFMJ_03963","DNCMPOJM_03922","LCJDOLDM_01223","AKHABIKF_03471","DHKOHJCB_03980","FAMPPICK_00151"
"group_10216","","hypothetical protein","32","32","1","114","8473","","","","266","266","266","CBPJGFDI_00371","JOALHOIP_02977","PLLECCHL_01969","CKPFFKFG_00859","EJLPBIDD_01799","KBFHEIFM_02753","LHNFOEJC_02776","OPAAANOD_01134","CBBMCBHD_00737","DDCFCBDF_00997","DFPKOMDA_01706","KAALHNMO_03076","MMHBEFPG_01666","ALMECFFD_00273","MLEOMEED_02259","AGNKOGBN_01823","NADAGIKK_02416","ADNDDJPL_00845","KKOACABF_00075","OCCFHEHO_01946","MDCBHCFC_00391","ELIPLHKN_02087","GIOCAJEK_02640","KINKNFBI_04147","PLHLKKDO_00435","FNPFPPAG_02735","MPDACFMJ_01815","DNCMPOJM_02783","LCJDOLDM_03778","AKHABIKF_02194","DHKOHJCB_02865","FAMPPICK_02910"
"rplS","","50S ribosomal protein L19","32","32","1","114","2160","","","","347","347","347","CBPJGFDI_02750","JOALHOIP_01053","PLLECCHL_00773","CKPFFKFG_03101","EJLPBIDD_00152","KBFHEIFM_01776","LHNFOEJC_01671","OPAAANOD_04566","CBBMCBHD_03381","DDCFCBDF_01973","DFPKOMDA_01342","KAALHNMO_00544","MMHBEFPG_02540","ALMECFFD_03289","MLEOMEED_03305","AGNKOGBN_01225","NADAGIKK_00018","ADNDDJPL_02025","KKOACABF_02851","OCCFHEHO_00762","MDCBHCFC_01372","ELIPLHKN_03265","GIOCAJEK_01689","KINKNFBI_03608","PLHLKKDO_01581","FNPFPPAG_01698","MPDACFMJ_02950","DNCMPOJM_01828","LCJDOLDM_02753","AKHABIKF_00993","DHKOHJCB_01876","FAMPPICK_01727"
"degU","","Transcriptional regulatory protein DegU","32","32","1","114","5812","","","","689","689","689","CBPJGFDI_01951","JOALHOIP_03583","PLLECCHL_02892","CKPFFKFG_01758","EJLPBIDD_03916","KBFHEIFM_03737","LHNFOEJC_03624","OPAAANOD_02120","CBBMCBHD_01545","DDCFCBDF_00088","DFPKOMDA_01182","KAALHNMO_00756","MMHBEFPG_01881","ALMECFFD_00739","MLEOMEED_02765","AGNKOGBN_00432","NADAGIKK_01074","ADNDDJPL_04323","KKOACABF_03271","OCCFHEHO_02793","MDCBHCFC_02390","ELIPLHKN_01235","GIOCAJEK_03556","KINKNFBI_01355","PLHLKKDO_02783","FNPFPPAG_03577","MPDACFMJ_00587","DNCMPOJM_00463","LCJDOLDM_00492","AKHABIKF_02427","DHKOHJCB_00459","FAMPPICK_03762"
"nfuA","","Fe/S biogenesis protein NfuA","32","32","1","114","6369","","","","236","236","236","CBPJGFDI_01567","JOALHOIP_00871","PLLECCHL_02555","CKPFFKFG_01371","EJLPBIDD_03378","KBFHEIFM_03399","LHNFOEJC_03290","OPAAANOD_01726","CBBMCBHD_01201","DDCFCBDF_00424","DFPKOMDA_00845","KAALHNMO_03485","MMHBEFPG_01166","ALMECFFD_03803","MLEOMEED_00445","AGNKOGBN_02427","NADAGIKK_00205","ADNDDJPL_00330","KKOACABF_01057","OCCFHEHO_02454","MDCBHCFC_02733","ELIPLHKN_01572","GIOCAJEK_03216","KINKNFBI_01698","PLHLKKDO_02459","FNPFPPAG_03248","MPDACFMJ_00918","DNCMPOJM_00127","LCJDOLDM_00140","AKHABIKF_02843","DHKOHJCB_00128","FAMPPICK_03425"
