Gene_Name,COG_Categories,Classification
OGCDPPDJ_00914,L,Stress Response
OGCDPPDJ_00915,L,Stress Response
OGCDPPDJ_00918,L,Stress Response
OGCDPPDJ_00920,KL,Stress Response
OGCDPPDJ_00921,IQ,Environmental Adaptation
OGCDPPDJ_00926,P,Stress Response
OGCDPPDJ_00930,Q,Environmental Adaptation
OGCDPPDJ_00935,L,Stress Response
OGCDPPDJ_00937,L,Stress Response
OGCDPPDJ_00939,L,Stress Response
OGCDPPDJ_00947,O,Stress Response
OGCDPPDJ_00966,V,Stress Response
OGCDPPDJ_00968,O,Stress Response
OGCDPPDJ_00969,O,Stress Response
OGCDPPDJ_00971,L,Stress Response
OGCDPPDJ_00974,L,Stress Response
OGCDPPDJ_00980,L,Stress Response
OGCDPPDJ_00982,L,Stress Response
OGCDPPDJ_00997,L,Stress Response
OGCDPPDJ_01021,L,Stress Response
OGCDPPDJ_01049,V,Stress Response
OGCDPPDJ_01055,L,Stress Response
OGCDPPDJ_01066,T,Environmental Adaptation
OGCDPPDJ_01080,L,Stress Response
OGCDPPDJ_01090,L,Stress Response
OGCDPPDJ_01093,L,Stress Response
OGCDPPDJ_01094,L,Stress Response
OGCDPPDJ_01095,L,Stress Response
OGCDPPDJ_01118,O,Stress Response
OGCDPPDJ_01120,V,Stress Response
OGCDPPDJ_01140,L,Stress Response
OGCDPPDJ_01156,L,Stress Response
OGCDPPDJ_01158,L,Stress Response
OGCDPPDJ_01159,L,Stress Response
OGCDPPDJ_01161,L,Stress Response
OGCDPPDJ_01182,Q,Environmental Adaptation
OGCDPPDJ_01198,T,Environmental Adaptation
OGCDPPDJ_01199,V,Stress Response
OGCDPPDJ_01204,P,Stress Response
OGCDPPDJ_01206,P,Stress Response
OGCDPPDJ_01211,P,Stress Response
OGCDPPDJ_01218,O,Stress Response
OGCDPPDJ_01221,T,Environmental Adaptation
OGCDPPDJ_01223,L,Stress Response
OGCDPPDJ_01225,T,Environmental Adaptation
OGCDPPDJ_01226,T,Environmental Adaptation
OGCDPPDJ_01228,V,Stress Response
OGCDPPDJ_01244,L,Stress Response
OGCDPPDJ_01249,L,Stress Response
OGCDPPDJ_01274,GT,Environmental Adaptation
OGCDPPDJ_01278,V,Stress Response
OGCDPPDJ_01286,V,Stress Response
OGCDPPDJ_01299,Q,Environmental Adaptation
OGCDPPDJ_01300,NT,Environmental Adaptation
OGCDPPDJ_01308,EGP,Stress Response
OGCDPPDJ_01313,EGP,Stress Response
OGCDPPDJ_01328,L,Stress Response
OGCDPPDJ_01331,V,Stress Response
OGCDPPDJ_01334,Q,Environmental Adaptation
OGCDPPDJ_01335,Q,Environmental Adaptation
OGCDPPDJ_01336,Q,Environmental Adaptation
OGCDPPDJ_01337,Q,Environmental Adaptation
OGCDPPDJ_01338,Q,Environmental Adaptation
OGCDPPDJ_01340,T,Environmental Adaptation
OGCDPPDJ_01343,IQ,Environmental Adaptation
OGCDPPDJ_01360,L,Stress Response
OGCDPPDJ_01361,L,Stress Response
OGCDPPDJ_01370,CO,Stress Response
OGCDPPDJ_01374,O,Stress Response
OGCDPPDJ_01376,O,Stress Response
OGCDPPDJ_01377,T,Environmental Adaptation
OGCDPPDJ_01378,O,Stress Response
OGCDPPDJ_01384,L,Stress Response
OGCDPPDJ_01396,U,Environmental Adaptation
OGCDPPDJ_01402,U,Environmental Adaptation
OGCDPPDJ_01414,U,Environmental Adaptation
OGCDPPDJ_01415,L,Stress Response
OGCDPPDJ_01432,OU,Both
OGCDPPDJ_01439,P,Stress Response
OGCDPPDJ_01440,P,Stress Response
OGCDPPDJ_01442,NU,Environmental Adaptation
OGCDPPDJ_01443,P,Stress Response
OGCDPPDJ_01446,V,Stress Response
OGCDPPDJ_01453,IQ,Environmental Adaptation
OGCDPPDJ_01454,NT,Environmental Adaptation
OGCDPPDJ_01455,NT,Environmental Adaptation
OGCDPPDJ_01456,NT,Environmental Adaptation
OGCDPPDJ_01457,NT,Environmental Adaptation
OGCDPPDJ_01466,P,Stress Response
OGCDPPDJ_01479,T,Environmental Adaptation
OGCDPPDJ_01481,L,Stress Response
OGCDPPDJ_01483,EGP,Stress Response
OGCDPPDJ_01487,T,Environmental Adaptation
OGCDPPDJ_01488,T,Environmental Adaptation
OGCDPPDJ_01495,CP,Stress Response
OGCDPPDJ_01496,P,Stress Response
OGCDPPDJ_01497,P,Stress Response
OGCDPPDJ_01498,CP,Stress Response
OGCDPPDJ_01499,P,Stress Response
OGCDPPDJ_01500,P,Stress Response
OGCDPPDJ_01501,P,Stress Response
OGCDPPDJ_01502,Q,Environmental Adaptation
OGCDPPDJ_01504,T,Environmental Adaptation
OGCDPPDJ_01509,T,Environmental Adaptation
OGCDPPDJ_01511,Q,Environmental Adaptation
OGCDPPDJ_01519,IQ,Environmental Adaptation
OGCDPPDJ_01526,QT,Environmental Adaptation
OGCDPPDJ_01530,Q,Environmental Adaptation
OGCDPPDJ_01531,Q,Environmental Adaptation
OGCDPPDJ_01532,Q,Environmental Adaptation
OGCDPPDJ_01533,HQ,Environmental Adaptation
OGCDPPDJ_01534,IQ,Environmental Adaptation
OGCDPPDJ_01555,O,Stress Response
OGCDPPDJ_01556,EU,Environmental Adaptation
OGCDPPDJ_01557,EU,Environmental Adaptation
OGCDPPDJ_01576,QT,Environmental Adaptation
OGCDPPDJ_01579,Q,Environmental Adaptation
OGCDPPDJ_01585,O,Stress Response
OGCDPPDJ_01589,L,Stress Response
OGCDPPDJ_01590,P,Stress Response
OGCDPPDJ_01593,P,Stress Response
OGCDPPDJ_01598,L,Stress Response
OGCDPPDJ_01603,O,Stress Response
OGCDPPDJ_01606,O,Stress Response
OGCDPPDJ_01607,O,Stress Response
OGCDPPDJ_01609,P,Stress Response
OGCDPPDJ_01610,P,Stress Response
OGCDPPDJ_01611,P,Stress Response
OGCDPPDJ_01613,CO,Stress Response
OGCDPPDJ_01614,L,Stress Response
OGCDPPDJ_01617,P,Stress Response
OGCDPPDJ_01626,P,Stress Response
OGCDPPDJ_01628,IQ,Environmental Adaptation
OGCDPPDJ_01631,HP,Stress Response
OGCDPPDJ_01634,IQ,Environmental Adaptation
OGCDPPDJ_01635,P,Stress Response
OGCDPPDJ_01636,O,Stress Response
OGCDPPDJ_01637,T,Environmental Adaptation
OGCDPPDJ_01638,T,Environmental Adaptation
OGCDPPDJ_01645,KT,Environmental Adaptation
OGCDPPDJ_01646,T,Environmental Adaptation
OGCDPPDJ_01649,KT,Environmental Adaptation
OGCDPPDJ_01651,EGP,Stress Response
OGCDPPDJ_01653,HP,Stress Response
OGCDPPDJ_01654,P,Stress Response
OGCDPPDJ_01655,P,Stress Response
OGCDPPDJ_01656,IQ,Environmental Adaptation
OGCDPPDJ_01658,T,Environmental Adaptation
OGCDPPDJ_01659,T,Environmental Adaptation
OGCDPPDJ_01665,V,Stress Response
OGCDPPDJ_01666,V,Stress Response
OGCDPPDJ_01668,HP,Stress Response
OGCDPPDJ_01669,P,Stress Response
OGCDPPDJ_01670,P,Stress Response
OGCDPPDJ_01671,P,Stress Response
OGCDPPDJ_01676,P,Stress Response
OGCDPPDJ_01677,P,Stress Response
OGCDPPDJ_01678,P,Stress Response
OGCDPPDJ_01681,P,Stress Response
OGCDPPDJ_01682,P,Stress Response
OGCDPPDJ_01683,P,Stress Response
OGCDPPDJ_01684,L,Stress Response
OGCDPPDJ_01686,O,Stress Response
OGCDPPDJ_01687,O,Stress Response
OGCDPPDJ_01688,P,Stress Response
OGCDPPDJ_01689,P,Stress Response
OGCDPPDJ_01690,P,Stress Response
OGCDPPDJ_01696,P,Stress Response
OGCDPPDJ_01698,IQ,Environmental Adaptation
OGCDPPDJ_01708,NU,Environmental Adaptation
OGCDPPDJ_01731,L,Stress Response
OGCDPPDJ_01744,L,Stress Response
OGCDPPDJ_01745,L,Stress Response
OGCDPPDJ_01755,O,Stress Response
OGCDPPDJ_01758,U,Environmental Adaptation
OGCDPPDJ_01764,NT,Environmental Adaptation
OGCDPPDJ_01765,P,Stress Response
OGCDPPDJ_01767,P,Stress Response
OGCDPPDJ_01770,P,Stress Response
OGCDPPDJ_01772,P,Stress Response
OGCDPPDJ_01775,U,Environmental Adaptation
OGCDPPDJ_01786,U,Environmental Adaptation
OGCDPPDJ_01796,T,Environmental Adaptation
OGCDPPDJ_01797,T,Environmental Adaptation
OGCDPPDJ_01798,V,Stress Response
OGCDPPDJ_01799,V,Stress Response
OGCDPPDJ_01801,T,Environmental Adaptation
OGCDPPDJ_01804,P,Stress Response
OGCDPPDJ_01805,P,Stress Response
OGCDPPDJ_01830,Q,Environmental Adaptation
OGCDPPDJ_01833,V,Stress Response
OGCDPPDJ_01838,P,Stress Response
OGCDPPDJ_01839,P,Stress Response
OGCDPPDJ_01844,OU,Both
OGCDPPDJ_01849,P,Stress Response
OGCDPPDJ_01850,P,Stress Response
OGCDPPDJ_01856,P,Stress Response
OGCDPPDJ_01857,P,Stress Response
OGCDPPDJ_01859,V,Stress Response
OGCDPPDJ_01860,V,Stress Response
OGCDPPDJ_01861,T,Environmental Adaptation
OGCDPPDJ_01862,T,Environmental Adaptation
OGCDPPDJ_01864,Q,Environmental Adaptation
OGCDPPDJ_01873,V,Stress Response
OGCDPPDJ_01888,NU,Environmental Adaptation
OGCDPPDJ_01892,P,Stress Response
OGCDPPDJ_01898,Q,Environmental Adaptation
OGCDPPDJ_01900,KT,Environmental Adaptation
OGCDPPDJ_01904,N,Environmental Adaptation
OGCDPPDJ_01905,L,Stress Response
OGCDPPDJ_01906,L,Stress Response
OGCDPPDJ_01908,GT,Environmental Adaptation
OGCDPPDJ_01910,P,Stress Response
OGCDPPDJ_01911,O,Stress Response
OGCDPPDJ_01919,U,Environmental Adaptation
OGCDPPDJ_01923,N,Environmental Adaptation
OGCDPPDJ_01924,N,Environmental Adaptation
OGCDPPDJ_01925,N,Environmental Adaptation
OGCDPPDJ_01926,N,Environmental Adaptation
OGCDPPDJ_01927,T,Environmental Adaptation
OGCDPPDJ_01930,N,Environmental Adaptation
OGCDPPDJ_01931,N,Environmental Adaptation
OGCDPPDJ_01932,NOU,Both
OGCDPPDJ_01933,KNU,Environmental Adaptation
OGCDPPDJ_01937,L,Stress Response
OGCDPPDJ_01939,KT,Environmental Adaptation
OGCDPPDJ_01940,T,Environmental Adaptation
OGCDPPDJ_01949,V,Stress Response
OGCDPPDJ_01968,L,Stress Response
OGCDPPDJ_01983,U,Environmental Adaptation
OGCDPPDJ_01997,T,Environmental Adaptation
OGCDPPDJ_02003,P,Stress Response
OGCDPPDJ_02012,P,Stress Response
OGCDPPDJ_02013,P,Stress Response
OGCDPPDJ_02017,L,Stress Response
OGCDPPDJ_02035,L,Stress Response
OGCDPPDJ_02038,L,Stress Response
OGCDPPDJ_02042,T,Environmental Adaptation
OGCDPPDJ_02046,N,Environmental Adaptation
OGCDPPDJ_02047,N,Environmental Adaptation
OGCDPPDJ_02051,EGP,Stress Response
OGCDPPDJ_02052,P,Stress Response
OGCDPPDJ_02054,EGP,Stress Response
OGCDPPDJ_02055,Q,Environmental Adaptation
OGCDPPDJ_02057,P,Stress Response
OGCDPPDJ_02100,T,Environmental Adaptation
OGCDPPDJ_02101,P,Stress Response
OGCDPPDJ_02120,T,Environmental Adaptation
OGCDPPDJ_02127,L,Stress Response
OGCDPPDJ_02130,V,Stress Response
OGCDPPDJ_02136,T,Environmental Adaptation
OGCDPPDJ_02139,P,Stress Response
OGCDPPDJ_02145,V,Stress Response
OGCDPPDJ_02146,P,Stress Response
OGCDPPDJ_02147,L,Stress Response
OGCDPPDJ_02148,L,Stress Response
OGCDPPDJ_02150,CO,Stress Response
OGCDPPDJ_02151,CO,Stress Response
OGCDPPDJ_02164,U,Environmental Adaptation
OGCDPPDJ_02175,IQ,Environmental Adaptation
OGCDPPDJ_02177,EGP,Stress Response
OGCDPPDJ_02179,IQ,Environmental Adaptation
OGCDPPDJ_02182,EGP,Stress Response
OGCDPPDJ_02204,L,Stress Response
OGCDPPDJ_02210,P,Stress Response
OGCDPPDJ_02213,O,Stress Response
OGCDPPDJ_02231,Q,Environmental Adaptation
OGCDPPDJ_02232,P,Stress Response
OGCDPPDJ_02233,P,Stress Response
OGCDPPDJ_02234,P,Stress Response
OGCDPPDJ_02240,EGP,Stress Response
OGCDPPDJ_02245,O,Stress Response
OGCDPPDJ_02255,EGP,Stress Response
OGCDPPDJ_02258,Q,Environmental Adaptation
OGCDPPDJ_02260,IQ,Environmental Adaptation
OGCDPPDJ_02268,GKT,Environmental Adaptation
OGCDPPDJ_02270,L,Stress Response
OGCDPPDJ_02271,P,Stress Response
OGCDPPDJ_02272,EGP,Stress Response
OGCDPPDJ_02274,V,Stress Response
OGCDPPDJ_02281,V,Stress Response
OGCDPPDJ_02282,V,Stress Response
OGCDPPDJ_02286,O,Stress Response
OGCDPPDJ_02289,P,Stress Response
OGCDPPDJ_02290,QT,Environmental Adaptation
OGCDPPDJ_02295,T,Environmental Adaptation
OGCDPPDJ_02303,IQ,Environmental Adaptation
OGCDPPDJ_02307,Q,Environmental Adaptation
OGCDPPDJ_02309,T,Environmental Adaptation
OGCDPPDJ_02311,P,Stress Response
OGCDPPDJ_02317,JKL,Stress Response
OGCDPPDJ_02341,IQ,Environmental Adaptation
OGCDPPDJ_02343,T,Environmental Adaptation
OGCDPPDJ_02350,L,Stress Response
OGCDPPDJ_02352,L,Stress Response
OGCDPPDJ_02357,Q,Environmental Adaptation
OGCDPPDJ_02368,P,Stress Response
OGCDPPDJ_02369,P,Stress Response
OGCDPPDJ_02380,P,Stress Response
OGCDPPDJ_02382,V,Stress Response
OGCDPPDJ_02383,V,Stress Response
OGCDPPDJ_02384,T,Environmental Adaptation
OGCDPPDJ_02385,T,Environmental Adaptation
OGCDPPDJ_02390,EGP,Stress Response
OGCDPPDJ_02400,U,Environmental Adaptation
OGCDPPDJ_02401,O,Stress Response
OGCDPPDJ_02403,IQ,Environmental Adaptation
OGCDPPDJ_02408,Q,Environmental Adaptation
OGCDPPDJ_02412,U,Environmental Adaptation
OGCDPPDJ_02416,P,Stress Response
OGCDPPDJ_02419,IQ,Environmental Adaptation
OGCDPPDJ_02429,O,Stress Response
OGCDPPDJ_02430,O,Stress Response
OGCDPPDJ_02434,L,Stress Response
OGCDPPDJ_02435,O,Stress Response
OGCDPPDJ_02440,P,Stress Response
OGCDPPDJ_02442,L,Stress Response
OGCDPPDJ_02443,L,Stress Response
OGCDPPDJ_02446,L,Stress Response
OGCDPPDJ_02462,KT,Environmental Adaptation
OGCDPPDJ_02463,T,Environmental Adaptation
OGCDPPDJ_02467,O,Stress Response
OGCDPPDJ_02471,T,Environmental Adaptation
OGCDPPDJ_02472,T,Environmental Adaptation
OGCDPPDJ_02479,L,Stress Response
OGCDPPDJ_02483,P,Stress Response
OGCDPPDJ_02486,T,Environmental Adaptation
OGCDPPDJ_02499,EGP,Stress Response
OGCDPPDJ_02510,EGP,Stress Response
OGCDPPDJ_02511,O,Stress Response
OGCDPPDJ_02512,L,Stress Response
OGCDPPDJ_02518,P,Stress Response
OGCDPPDJ_02535,L,Stress Response
OGCDPPDJ_02545,L,Stress Response
OGCDPPDJ_02546,O,Stress Response
OGCDPPDJ_02547,O,Stress Response
OGCDPPDJ_02549,EGP,Stress Response
OGCDPPDJ_02553,L,Stress Response
OGCDPPDJ_02555,L,Stress Response
OGCDPPDJ_02570,U,Environmental Adaptation
OGCDPPDJ_02572,L,Stress Response
OGCDPPDJ_02573,L,Stress Response
OGCDPPDJ_02575,L,Stress Response
OGCDPPDJ_02577,L,Stress Response
OGCDPPDJ_02578,L,Stress Response
OGCDPPDJ_02593,P,Stress Response
OGCDPPDJ_02595,O,Stress Response
OGCDPPDJ_02607,P,Stress Response
OGCDPPDJ_02608,P,Stress Response
OGCDPPDJ_02609,O,Stress Response
OGCDPPDJ_02612,O,Stress Response
OGCDPPDJ_02616,HQ,Environmental Adaptation
OGCDPPDJ_02617,IQ,Environmental Adaptation
OGCDPPDJ_02618,IQ,Environmental Adaptation
OGCDPPDJ_02619,Q,Environmental Adaptation
OGCDPPDJ_02620,IQ,Environmental Adaptation
OGCDPPDJ_02625,IQ,Environmental Adaptation
OGCDPPDJ_02627,Q,Environmental Adaptation
OGCDPPDJ_02635,L,Stress Response
OGCDPPDJ_02636,L,Stress Response
OGCDPPDJ_02645,V,Stress Response
OGCDPPDJ_02646,L,Stress Response
OGCDPPDJ_02655,EGP,Stress Response
OGCDPPDJ_02659,OU,Both
OGCDPPDJ_02680,L,Stress Response
OGCDPPDJ_02692,NT,Environmental Adaptation
OGCDPPDJ_02693,NT,Environmental Adaptation
OGCDPPDJ_02694,NT,Environmental Adaptation
OGCDPPDJ_02695,NT,Environmental Adaptation
OGCDPPDJ_02696,NT,Environmental Adaptation
OGCDPPDJ_02698,N,Environmental Adaptation
OGCDPPDJ_02699,N,Environmental Adaptation
OGCDPPDJ_02700,N,Environmental Adaptation
OGCDPPDJ_02701,N,Environmental Adaptation
OGCDPPDJ_02702,N,Environmental Adaptation
OGCDPPDJ_02703,N,Environmental Adaptation
OGCDPPDJ_02704,N,Environmental Adaptation
OGCDPPDJ_02705,T,Environmental Adaptation
OGCDPPDJ_02706,N,Environmental Adaptation
OGCDPPDJ_02707,N,Environmental Adaptation
OGCDPPDJ_02708,N,Environmental Adaptation
OGCDPPDJ_02709,N,Environmental Adaptation
OGCDPPDJ_02710,N,Environmental Adaptation
OGCDPPDJ_02711,N,Environmental Adaptation
OGCDPPDJ_02713,N,Environmental Adaptation
OGCDPPDJ_02714,NU,Environmental Adaptation
OGCDPPDJ_02715,NU,Environmental Adaptation
OGCDPPDJ_02716,N,Environmental Adaptation
OGCDPPDJ_02717,N,Environmental Adaptation
OGCDPPDJ_02718,N,Environmental Adaptation
OGCDPPDJ_02719,N,Environmental Adaptation
OGCDPPDJ_02720,N,Environmental Adaptation
OGCDPPDJ_02722,O,Stress Response
OGCDPPDJ_02723,O,Stress Response
OGCDPPDJ_02724,L,Stress Response
OGCDPPDJ_02726,L,Stress Response
OGCDPPDJ_02727,LU,Both
OGCDPPDJ_02732,L,Stress Response
OGCDPPDJ_02740,U,Environmental Adaptation
OGCDPPDJ_02743,U,Environmental Adaptation
OGCDPPDJ_02746,IQ,Environmental Adaptation
OGCDPPDJ_02747,IQ,Environmental Adaptation
OGCDPPDJ_02751,L,Stress Response
OGCDPPDJ_02760,KLT,Both
OGCDPPDJ_02761,T,Environmental Adaptation
OGCDPPDJ_02766,L,Stress Response
OGCDPPDJ_02772,P,Stress Response
OGCDPPDJ_02777,P,Stress Response
OGCDPPDJ_02778,P,Stress Response
OGCDPPDJ_02779,P,Stress Response
OGCDPPDJ_02792,MU,Environmental Adaptation
OGCDPPDJ_02793,T,Environmental Adaptation
OGCDPPDJ_02803,P,Stress Response
OGCDPPDJ_02808,O,Stress Response
OGCDPPDJ_02834,T,Environmental Adaptation
OGCDPPDJ_02838,L,Stress Response
OGCDPPDJ_02844,T,Environmental Adaptation
OGCDPPDJ_02851,O,Stress Response
OGCDPPDJ_02852,O,Stress Response
OGCDPPDJ_02858,T,Environmental Adaptation
OGCDPPDJ_02862,T,Environmental Adaptation
OGCDPPDJ_02871,Q,Environmental Adaptation
OGCDPPDJ_02879,CO,Stress Response
OGCDPPDJ_02884,L,Stress Response
OGCDPPDJ_02891,P,Stress Response
OGCDPPDJ_02892,P,Stress Response
OGCDPPDJ_02893,T,Environmental Adaptation
OGCDPPDJ_02901,U,Environmental Adaptation
OGCDPPDJ_02902,GT,Environmental Adaptation
OGCDPPDJ_02905,V,Stress Response
OGCDPPDJ_02906,V,Stress Response
OGCDPPDJ_02909,V,Stress Response
OGCDPPDJ_02910,V,Stress Response
OGCDPPDJ_02919,CO,Stress Response
