locus_tag	ftype	length_bp	gene	EC_number	COG	product
FAMPPICK_00036	CDS	615				hypothetical protein
FAMPPICK_00037	CDS	1161				TelA-like protein
FAMPPICK_00038	CDS	1443	speA_1	4.1.1.19	COG1982	Arginine decarboxylase
FAMPPICK_00039	CDS	639	tmk	2.7.4.9		Thymidylate kinase
FAMPPICK_00040	CDS	330	darA		COG3870	Cyclic di-AMP receptor A
FAMPPICK_00041	CDS	441				hypothetical protein
FAMPPICK_00042	CDS	990				hypothetical protein
FAMPPICK_00043	CDS	828				hypothetical protein
FAMPPICK_00044	CDS	360	yabA		COG4467	Initiation-control protein YabA
FAMPPICK_00045	CDS	744	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
FAMPPICK_00046	CDS	300				hypothetical protein
FAMPPICK_00047	CDS	879	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
FAMPPICK_00048	CDS	285	abrB		COG2002	Transition state regulatory protein AbrB
FAMPPICK_00049	CDS	1995	metG	6.1.1.10		Methionine--tRNA ligase
FAMPPICK_00050	CDS	768	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
FAMPPICK_00051	CDS	1314				hypothetical protein
FAMPPICK_00052	CDS	561	rnmV_1	3.1.26.8	COG1658	Ribonuclease M5
FAMPPICK_00053	CDS	879	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
FAMPPICK_00054	CDS	891	yabG	3.4.-.-		Sporulation-specific protease YabG
FAMPPICK_00055	CDS	261	veg		COG4466	Protein Veg
FAMPPICK_00056	CDS	186				hypothetical protein
FAMPPICK_00057	CDS	870	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
FAMPPICK_00058	CDS	858	purR_1		COG0503	Pur operon repressor
FAMPPICK_00059	CDS	378	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
FAMPPICK_00060	CDS	294	spoVG		COG2088	Putative septation protein SpoVG
FAMPPICK_00061	CDS	1371	glmU			Bifunctional protein GlmU
FAMPPICK_00062	CDS	954	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
FAMPPICK_00063	CDS	615	ctc		COG1825	General stress protein CTC
FAMPPICK_00064	CDS	567	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
FAMPPICK_00065	CDS	231	fin			Anti-sigma-F factor Fin
FAMPPICK_00066	CDS	3534	mfd	3.6.4.-		Transcription-repair-coupling factor
FAMPPICK_00067	CDS	537	spoVT		COG2002	Stage V sporulation protein T
FAMPPICK_00068	CDS	1599	murJ_1		COG2244	Lipid II flippase MurJ
FAMPPICK_00069	CDS	1470				hypothetical protein
FAMPPICK_00070	CDS	261			COG1188	putative protein
FAMPPICK_00071	CDS	303	yabP			Spore protein YabP
FAMPPICK_00072	CDS	636	yabQ			Spore protein YabQ
FAMPPICK_00073	CDS	378	divIC		COG2919	Cell division protein DivIC
FAMPPICK_00074	CDS	387	pnp_1	2.7.7.8		Polyribonucleotide nucleotidyltransferase
FAMPPICK_00075	tRNA	77				tRNA-Met(cat)
FAMPPICK_00076	tRNA	76				tRNA-Glu(ttc)
FAMPPICK_00077	CDS	2484	spoIIE	3.1.3.16	COG2208	Stage II sporulation protein E
FAMPPICK_00078	CDS	738				hypothetical protein
FAMPPICK_00079	CDS	1017	yabT	2.7.11.1	COG0515	putative serine/threonine-protein kinase YabT
FAMPPICK_00080	CDS	1419	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
FAMPPICK_00081	CDS	543	hpt	2.4.2.8		Hypoxanthine-guanine phosphoribosyltransferase
FAMPPICK_00082	CDS	1914	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
FAMPPICK_00083	CDS	777	coaX	2.7.1.33	COG1521	Type III pantothenate kinase
FAMPPICK_00084	CDS	876	hslO		COG1281	33 kDa chaperonin
FAMPPICK_00085	CDS	852	prsA2	5.2.1.8	COG0760	Foldase protein PrsA 2
FAMPPICK_00086	CDS	927	cysK_1	2.5.1.47	COG0031	Cysteine synthase
FAMPPICK_00087	CDS	1413	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
FAMPPICK_00088	CDS	576	pabA	2.6.1.85	COG0512	Aminodeoxychorismate/anthranilate synthase component 2
FAMPPICK_00089	CDS	882	pabC	4.1.3.38	COG0115	Aminodeoxychorismate lyase
FAMPPICK_00090	CDS	858	folP	2.5.1.15		Dihydropteroate synthase
FAMPPICK_00091	CDS	363	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
FAMPPICK_00092	CDS	504	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
FAMPPICK_00093	CDS	210				hypothetical protein
FAMPPICK_00094	CDS	1002	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
FAMPPICK_00095	CDS	1500	lysS	6.1.1.6		Lysine--tRNA ligase
FAMPPICK_00096	rRNA	1547				16S ribosomal RNA
FAMPPICK_00097	rRNA	2925				23S ribosomal RNA
FAMPPICK_00098	rRNA	111				5S ribosomal RNA
FAMPPICK_00099	tRNA	76				tRNA-Val(tac)
FAMPPICK_00100	tRNA	76				tRNA-Thr(tgt)
FAMPPICK_00101	tRNA	76				tRNA-Lys(ttt)
FAMPPICK_00102	tRNA	83				tRNA-Leu(tag)
FAMPPICK_00103	tRNA	75				tRNA-Gly(gcc)
FAMPPICK_00104	tRNA	86				tRNA-Leu(taa)
FAMPPICK_00105	tRNA	77				tRNA-Arg(acg)
FAMPPICK_00106	tRNA	77				tRNA-Pro(tgg)
FAMPPICK_00107	tRNA	76				tRNA-Ala(tgc)
FAMPPICK_00108	rRNA	1547				16S ribosomal RNA
FAMPPICK_00109	rRNA	2925				23S ribosomal RNA
FAMPPICK_00110	rRNA	111				5S ribosomal RNA
FAMPPICK_00111	CDS	465	ctsR		COG4463	Transcriptional regulator CtsR
FAMPPICK_00112	CDS	348	mcsA		COG3880	Protein-arginine kinase activator protein
FAMPPICK_00113	CDS	1092	mcsB	2.7.14.1	COG3869	Protein-arginine kinase
FAMPPICK_00114	CDS	2433	clpC		COG0542	Negative regulator of genetic competence ClpC/MecB
FAMPPICK_00115	CDS	1434	radA	3.6.4.-	COG1066	DNA repair protein RadA
FAMPPICK_00116	CDS	1083	disA	2.7.7.85	COG1623	DNA integrity scanning protein DisA
FAMPPICK_00117	CDS	1101	yacL	3.1.-.-	COG4956	putative PIN and TRAM-domain containing protein YacL
FAMPPICK_00118	CDS	699	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
FAMPPICK_00119	CDS	477	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
FAMPPICK_00120	CDS	1452	gltX	6.1.1.17		Glutamate--tRNA ligase
FAMPPICK_00121	CDS	654	cysE	2.3.1.30	COG1045	Serine acetyltransferase
FAMPPICK_00122	CDS	1401	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
FAMPPICK_00123	CDS	432	mrnC	3.1.26.-	COG1939	Mini-ribonuclease 3
FAMPPICK_00124	CDS	750		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
FAMPPICK_00125	CDS	513	yacP		COG3688	putative protein YacP
FAMPPICK_00126	CDS	657	sigH		COG1595	RNA polymerase sigma-H factor
FAMPPICK_00127	CDS	180	secE			Protein translocase subunit SecE
FAMPPICK_00128	CDS	570	nusG		COG0250	Transcription termination/antitermination protein NusG
FAMPPICK_00129	CDS	426	rplK		COG0080	50S ribosomal protein L11
FAMPPICK_00130	CDS	699	rplA		COG0081	50S ribosomal protein L1
FAMPPICK_00131	CDS	501	rplJ		COG0244	50S ribosomal protein L10
FAMPPICK_00132	CDS	372	rplL		COG0222	50S ribosomal protein L7/L12
FAMPPICK_00133	CDS	606	rlmG	2.1.1.174	COG2813	Ribosomal RNA large subunit methyltransferase G
FAMPPICK_00134	CDS	3582	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
FAMPPICK_00135	CDS	3600	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
FAMPPICK_00136	CDS	249	rplGB		COG1358	Ribosome-associated protein L7Ae-like protein
FAMPPICK_00137	CDS	417	rpsL		COG0048	30S ribosomal protein S12
FAMPPICK_00138	CDS	471	rpsG		COG0049	30S ribosomal protein S7
FAMPPICK_00139	CDS	2079	fusA		COG0480	Elongation factor G
FAMPPICK_00140	CDS	1191	tuf		COG0050	Elongation factor Tu
FAMPPICK_00141	CDS	957	rutD	3.5.1.-		Putative aminoacrylate hydrolase RutD
FAMPPICK_00142	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
FAMPPICK_00143	CDS	630	rplC		COG0087	50S ribosomal protein L3
FAMPPICK_00144	CDS	624	rplD		COG0088	50S ribosomal protein L4
FAMPPICK_00145	CDS	288	rplW		COG0089	50S ribosomal protein L23
FAMPPICK_00146	CDS	834	rplB		COG0090	50S ribosomal protein L2
FAMPPICK_00147	CDS	279	rpsS		COG0185	30S ribosomal protein S19
FAMPPICK_00148	CDS	342	rplV		COG0091	50S ribosomal protein L22
FAMPPICK_00149	CDS	657	rpsC		COG0092	30S ribosomal protein S3
FAMPPICK_00150	CDS	435	rplP		COG0197	50S ribosomal protein L16
FAMPPICK_00151	CDS	201	rpmC		COG0255	50S ribosomal protein L29
FAMPPICK_00152	CDS	264	rpsQ		COG0186	30S ribosomal protein S17
FAMPPICK_00153	CDS	369	rplN		COG0093	50S ribosomal protein L14
FAMPPICK_00154	CDS	312	rplX		COG0198	50S ribosomal protein L24
FAMPPICK_00155	CDS	540	rplE		COG0094	50S ribosomal protein L5
FAMPPICK_00156	CDS	186	rpsN1		COG0199	30S ribosomal protein S14
FAMPPICK_00157	CDS	399	rpsH		COG0096	30S ribosomal protein S8
FAMPPICK_00158	CDS	540	rplF		COG0097	50S ribosomal protein L6
FAMPPICK_00159	CDS	363	rplR		COG0256	50S ribosomal protein L18
FAMPPICK_00160	CDS	507	rpsE		COG0098	30S ribosomal protein S5
FAMPPICK_00161	CDS	180	rpmD		COG1841	50S ribosomal protein L30
FAMPPICK_00162	CDS	441	rplO		COG0200	50S ribosomal protein L15
FAMPPICK_00163	CDS	1296	secY			Protein translocase subunit SecY
FAMPPICK_00164	CDS	654	adk	2.7.4.3	COG0563	Adenylate kinase
FAMPPICK_00165	CDS	747	map	3.4.11.18	COG0024	Methionine aminopeptidase 1
FAMPPICK_00166	CDS	219	infA		COG0361	Translation initiation factor IF-1
FAMPPICK_00167	CDS	114	rpmJ		COG0257	50S ribosomal protein L36
FAMPPICK_00168	CDS	366	rpsM		COG0099	30S ribosomal protein S13
FAMPPICK_00169	CDS	396	rpsK		COG0100	30S ribosomal protein S11
FAMPPICK_00170	CDS	945	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
FAMPPICK_00171	CDS	363	rplQ		COG0203	50S ribosomal protein L17
FAMPPICK_00172	CDS	846	ecfA1	7.-.-.-		Energy-coupling factor transporter ATP-binding protein EcfA1
FAMPPICK_00173	CDS	870	ecfA2	3.6.3.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2
FAMPPICK_00174	CDS	798	ecfT		COG0619	Energy-coupling factor transporter transmembrane protein EcfT
FAMPPICK_00175	CDS	744	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
FAMPPICK_00176	CDS	438	rplM		COG0102	50S ribosomal protein L13
FAMPPICK_00177	CDS	393	rpsI		COG0103	30S ribosomal protein S9
FAMPPICK_00178	CDS	768				hypothetical protein
FAMPPICK_00179	CDS	444				hypothetical protein
FAMPPICK_00180	CDS	714	cwlD	3.5.1.28	COG0860	Germination-specific N-acetylmuramoyl-L-alanine amidase
FAMPPICK_00181	CDS	1059	salA		COG0489	Iron-sulfur cluster carrier protein
FAMPPICK_00182	CDS	558	gerD			Spore germination protein GerD
FAMPPICK_00183	CDS	597				hypothetical protein
FAMPPICK_00184	CDS	765				hypothetical protein
FAMPPICK_00185	rRNA	1547				16S ribosomal RNA
FAMPPICK_00186	rRNA	2925				23S ribosomal RNA
FAMPPICK_00187	rRNA	111				5S ribosomal RNA
FAMPPICK_00188	tRNA	75				tRNA-Asn(gtt)
FAMPPICK_00189	tRNA	73				tRNA-Thr(ggt)
FAMPPICK_00190	tRNA	75				tRNA-Gly(gcc)
FAMPPICK_00191	tRNA	77				tRNA-Arg(acg)
FAMPPICK_00192	tRNA	77				tRNA-Pro(tgg)
FAMPPICK_00193	tRNA	76				tRNA-Ala(tgc)
FAMPPICK_00194	rRNA	1547				16S ribosomal RNA
FAMPPICK_00195	rRNA	2925				23S ribosomal RNA
FAMPPICK_00196	rRNA	111				5S ribosomal RNA
FAMPPICK_00197	rRNA	1547				16S ribosomal RNA
FAMPPICK_00198	rRNA	2925				23S ribosomal RNA
FAMPPICK_00199	rRNA	111				5S ribosomal RNA
FAMPPICK_00200	CDS	1437	bicA		COG0659	Bicarbonate transporter BicA
FAMPPICK_00201	CDS	153				hypothetical protein
FAMPPICK_00202	CDS	960	panS_1		COG0385	Pantothenate precursors transporter PanS
FAMPPICK_00203	CDS	753	ybbA		COG2819	putative protein YbbA
FAMPPICK_00204	CDS	1011	feuC_1		COG0609	Iron-uptake system permease protein FeuC
FAMPPICK_00205	CDS	1005	feuB_1		COG0609	Iron-uptake system permease protein FeuB
FAMPPICK_00206	CDS	954	feuA		COG0614	Iron-uptake system-binding protein
FAMPPICK_00207	CDS	1590	btr		COG0614	HTH-type transcriptional activator Btr
FAMPPICK_00208	CDS	1245				hypothetical protein
FAMPPICK_00209	CDS	1929	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
FAMPPICK_00210	CDS	1326	amiE	3.5.1.28		N-acetylmuramyl-L-alanine amidase
FAMPPICK_00211	CDS	1368				PTS system EIIBC component
FAMPPICK_00212	CDS	852	ybbH		COG1737	putative HTH-type transcriptional regulator YbbH
FAMPPICK_00213	CDS	915	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
FAMPPICK_00214	CDS	483				hypothetical protein
FAMPPICK_00215	CDS	456				hypothetical protein
FAMPPICK_00216	tRNA	75				tRNA-Glu(ttc)
FAMPPICK_00217	tRNA	76				tRNA-Val(tac)
FAMPPICK_00218	tRNA	74				tRNA-Thr(tgt)
FAMPPICK_00219	tRNA	85				tRNA-Tyr(gta)
FAMPPICK_00220	tRNA	75				tRNA-Gln(ttg)
FAMPPICK_00221	CDS	564	sigW		COG1595	ECF RNA polymerase sigma factor SigW
FAMPPICK_00222	CDS	627	rsiW		COG5662	Anti-sigma-W factor RsiW
FAMPPICK_00223	CDS	822	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
FAMPPICK_00224	CDS	1452	cdaR_1		COG4856	CdaA regulatory protein CdaR
FAMPPICK_00225	CDS	1347	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
FAMPPICK_00226	CDS	1803	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
FAMPPICK_00227	CDS	912	alkA	3.2.2.21	COG0122	DNA-3-methyladenine glycosylase
FAMPPICK_00228	CDS	636	adaA	2.1.1.-	COG2169	Bifunctional transcriptional activator/DNA repair enzyme AdaA
FAMPPICK_00229	CDS	540	adaB	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase, inducible
FAMPPICK_00230	CDS	1518	ndhB	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
FAMPPICK_00231	CDS	2616				hypothetical protein
FAMPPICK_00232	CDS	528				hypothetical protein
FAMPPICK_00233	CDS	291				hypothetical protein
FAMPPICK_00234	CDS	375				hypothetical protein
FAMPPICK_00235	CDS	303				hypothetical protein
FAMPPICK_00236	CDS	1173	pbuE_1		COG2814	Purine efflux pump PbuE
FAMPPICK_00237	CDS	168	skfA			Sporulation killing factor
FAMPPICK_00238	CDS	1233	skfB	1.21.98.-	COG0535	Sporulation killing factor maturation protein SkfB
FAMPPICK_00239	CDS	1491	skfC			Sporulation-killing factor biosynthesis protein SkfC
FAMPPICK_00240	CDS	720	skfE	7.3.2.3	COG1131	SkfA peptide export ATP-binding protein SkfE
FAMPPICK_00241	CDS	1344	skfF			Putative bacteriocin-SkfA transport system permease protein SkfF
FAMPPICK_00242	CDS	516	skfG			putative protein SkfG
FAMPPICK_00243	CDS	426	skfH		COG0526	Thioredoxin-like protein SkfH
FAMPPICK_00244	CDS	978				hypothetical protein
FAMPPICK_00245	CDS	672	copR			Transcriptional activator protein CopR
FAMPPICK_00246	CDS	987				hypothetical protein
FAMPPICK_00247	CDS	264				hypothetical protein
FAMPPICK_00248	CDS	771	ybdM	2.7.11.1	COG0515	putative serine/threonine-protein kinase YbdM
FAMPPICK_00249	CDS	858				hypothetical protein
FAMPPICK_00250	CDS	1185				hypothetical protein
FAMPPICK_00251	CDS	1389	yifK		COG1113	putative transport protein YifK
FAMPPICK_00252	CDS	249	csgA			Sigma-G-dependent sporulation-specific SASP protein
FAMPPICK_00253	CDS	192				hypothetical protein
FAMPPICK_00254	CDS	804	ybxI	3.5.2.6	COG2602	putative beta-lactamase YbxI
FAMPPICK_00255	CDS	1254	cypC	1.11.2.4	COG2124	Fatty-acid peroxygenase
FAMPPICK_00256	CDS	261				hypothetical protein
FAMPPICK_00257	CDS	1638	yveA_1		COG0531	Aspartate-proton symporter
FAMPPICK_00258	CDS	882	glpQ_1	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
FAMPPICK_00259	CDS	1335	glpT		COG2271	Glycerol-3-phosphate transporter
FAMPPICK_00260	CDS	249				hypothetical protein
FAMPPICK_00261	CDS	918				hypothetical protein
FAMPPICK_00262	CDS	1251				L-lactate transporter
FAMPPICK_00263	CDS	912				hypothetical protein
FAMPPICK_00264	CDS	2199				hypothetical protein
FAMPPICK_00265	CDS	921	yhbE		COG0697	putative inner membrane transporter YhbE
FAMPPICK_00266	CDS	828	rhaS_1			HTH-type transcriptional activator RhaS
FAMPPICK_00267	CDS	1155	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
FAMPPICK_00268	CDS	942	mpr	3.4.21.-	COG3591	Extracellular metalloprotease
FAMPPICK_00269	CDS	399				hypothetical protein
FAMPPICK_00270	CDS	891	ybfK	3.1.1.1	COG0596	Carboxylesterase YbfK
FAMPPICK_00271	CDS	534				hypothetical protein
FAMPPICK_00272	CDS	489	dedA		COG0586	Protein DedA
FAMPPICK_00273	CDS	792	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
FAMPPICK_00274	CDS	279				hypothetical protein
FAMPPICK_00275	CDS	1341				hypothetical protein
FAMPPICK_00276	CDS	888	rhaS_2			HTH-type transcriptional activator RhaS
FAMPPICK_00277	CDS	969				hypothetical protein
FAMPPICK_00278	CDS	1245	gltP		COG1301	Proton/glutamate-aspartate symporter
FAMPPICK_00279	CDS	1896	gamP		COG2190	Putative PTS system glucosamine-specific EIICBA component
FAMPPICK_00280	CDS	750	gamA	3.5.99.6	COG0363	putative glucosamine-6-phosphate deaminase 2
FAMPPICK_00281	CDS	708	gamR			HTH-type transcriptional repressor GamR
FAMPPICK_00282	CDS	276	ybgB		COG5658	putative membrane protein YbgB
FAMPPICK_00283	CDS	1071	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid transaminase 1
FAMPPICK_00284	CDS	1413	rocC_1		COG0833	Amino-acid permease RocC
FAMPPICK_00285	CDS	948	mmuM	2.1.1.10	COG2040	Homocysteine S-methyltransferase
FAMPPICK_00286	CDS	1437	alsT_1		COG1115	Amino-acid carrier protein AlsT
FAMPPICK_00287	CDS	984	glsA1	3.5.1.2	COG2066	Glutaminase 1
FAMPPICK_00288	CDS	1353	glnK	2.7.13.3	COG0642	Sensor histidine kinase GlnK
FAMPPICK_00289	CDS	945	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
FAMPPICK_00290	CDS	927		4.2.1.41	COG0329	putative 5-dehydro-4-deoxyglucarate dehydratase
FAMPPICK_00291	CDS	1500	gucD	1.2.1.26	COG1012	Alpha-ketoglutaric semialdehyde dehydrogenase
FAMPPICK_00292	CDS	1368	gudP			putative glucarate transporter
FAMPPICK_00293	CDS	1368	gudD	4.2.1.40	COG4948	Glucarate dehydratase
FAMPPICK_00294	CDS	702	lutR_1		COG2186	HTH-type transcriptional regulator LutR
FAMPPICK_00295	CDS	1533	garD	4.2.1.42	COG2721	Galactarate dehydratase (L-threo-forming)
FAMPPICK_00296	CDS	921				hypothetical protein
FAMPPICK_00297	CDS	162	rtpA			Tryptophan RNA-binding attenuator protein inhibitory protein
FAMPPICK_00298	CDS	939				hypothetical protein
FAMPPICK_00299	CDS	681	walR_1		COG0745	Transcriptional regulatory protein WalR
FAMPPICK_00300	CDS	936	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
FAMPPICK_00301	CDS	924	bcrA_1			Bacitracin transport ATP-binding protein BcrA
FAMPPICK_00302	CDS	687				hypothetical protein
FAMPPICK_00303	CDS	387				hypothetical protein
FAMPPICK_00304	CDS	429	cwlJ		COG3773	Cell wall hydrolase CwlJ
FAMPPICK_00305	CDS	732				hypothetical protein
FAMPPICK_00306	CDS	1752	phoD	3.1.3.1	COG3540	Alkaline phosphatase D
FAMPPICK_00307	CDS	213	tatAd			Sec-independent protein translocase protein TatAd
FAMPPICK_00308	CDS	729	tatC1		COG0805	Sec-independent protein translocase protein TatCd
FAMPPICK_00309	CDS	648	pcp	3.4.19.3	COG2039	Pyrrolidone-carboxylate peptidase
FAMPPICK_00310	CDS	1113	csd	2.8.1.7		putative cysteine desulfurase
FAMPPICK_00311	CDS	1434	emrY			putative multidrug resistance protein EmrY
FAMPPICK_00312	CDS	567	yxaF_1			putative HTH-type transcriptional regulator YxaF
FAMPPICK_00313	CDS	1128	ansZ	3.5.1.1	COG0252	L-asparaginase 2
FAMPPICK_00314	CDS	639	estA	3.1.1.3		Lipase EstA
FAMPPICK_00315	CDS	384				hypothetical protein
FAMPPICK_00316	CDS	1077				hypothetical protein
FAMPPICK_00317	CDS	957				hypothetical protein
FAMPPICK_00318	CDS	702	natR		COG3279	Transcriptional regulatory protein NatR
FAMPPICK_00319	CDS	741	natA	7.2.2.4	COG4555	ABC transporter ATP-binding protein NatA
FAMPPICK_00320	CDS	1161	natB	7.2.2.4	COG1668	ABC transporter permease protein NatB
FAMPPICK_00321	CDS	933	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
FAMPPICK_00322	CDS	1065	ycdA			putative lipoprotein YcdA
FAMPPICK_00323	CDS	1419				hypothetical protein
FAMPPICK_00324	CDS	1500				hypothetical protein
FAMPPICK_00325	CDS	504	cwlK	3.4.-.-		Peptidoglycan L-alanyl-D-glutamate endopeptidase CwlK
FAMPPICK_00326	CDS	1122	rapJ	3.1.-.-		Response regulator aspartate phosphatase J
FAMPPICK_00327	CDS	777	ycdF	1.1.1.47	COG1028	Glucose 1-dehydrogenase 2
FAMPPICK_00328	CDS	1686	ycdG	3.2.1.10	COG0366	putative oligo-1,6-glucosidase 2
FAMPPICK_00329	CDS	960	znuA		COG0803	High-affinity zinc uptake system binding-protein ZnuA
FAMPPICK_00330	CDS	696	znuC	7.2.2.-	COG1121	High-affinity zinc uptake system ATP-binding protein ZnuC
FAMPPICK_00331	CDS	843	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
FAMPPICK_00332	CDS	996				hypothetical protein
FAMPPICK_00333	CDS	600	yceC		COG2310	Stress response protein SCP2
FAMPPICK_00334	CDS	582	yceD_1		COG2310	General stress protein 16U
FAMPPICK_00335	CDS	579	yceD_2		COG2310	General stress protein 16U
FAMPPICK_00336	CDS	774				hypothetical protein
FAMPPICK_00337	CDS	1614				hypothetical protein
FAMPPICK_00338	CDS	1092				TelA-like protein
FAMPPICK_00339	CDS	1203	naiP			Putative niacin/nicotinamide transporter NaiP
FAMPPICK_00340	CDS	1173	pbuE_2		COG2814	Purine efflux pump PbuE
FAMPPICK_00341	CDS	288				hypothetical protein
FAMPPICK_00342	CDS	1257	opuAA	7.6.2.9	COG4175	Glycine betaine transport ATP-binding protein OpuAA
FAMPPICK_00343	CDS	849	opuAB		COG4176	Glycine betaine transport system permease protein OpuAB
FAMPPICK_00344	CDS	882	opuAC		COG2113	Glycine betaine-binding protein OpuAC
FAMPPICK_00345	CDS	1152	scmP_1	3.5.1.-	COG1473	N-acetylcysteine deacetylase
FAMPPICK_00346	CDS	1434				hypothetical protein
FAMPPICK_00347	CDS	582				hypothetical protein
FAMPPICK_00348	CDS	1980	amyE	3.2.1.1		Alpha-amylase
FAMPPICK_00349	CDS	966	ldh_1	1.1.1.27	COG0039	L-lactate dehydrogenase
FAMPPICK_00350	CDS	1626	lctP		COG1620	L-lactate permease
